,description_id,listing_id,tag
0,14,2,D3
1,14,2,Git
2,24,3,Scala
3,26,3,Hive
4,26,3,Spark
5,27,3,Python
6,27,3,Scala
7,28,3,SQL
8,37,4,Excel
9,38,6,Data Pipeline
10,45,6,Data Pipeline
11,45,6,Scala
12,46,6,Python
13,47,6,Airflow
14,49,7,ETL
15,49,7,Python
16,50,7,Python
17,56,8,Java
18,56,8,Python
19,56,8,SQL
20,57,8,Excel
21,79,9,Python
22,90,10,Python
23,91,10,Python
24,96,10,Python
25,98,11,Scala
26,100,11,ETL
27,107,11,ETL
28,108,11,Testing
29,109,11,Linux
30,109,11,SQL
31,119,12,AWS
32,119,12,Azure
33,119,12,Hadoop
34,119,12,Java
35,119,12,Linux
36,119,12,OOP
37,119,12,Python
38,119,12,SQL
39,119,12,Spark
40,135,12,Excel
41,137,12,Java
42,137,12,Python
43,138,12,Python
44,138,12,Scala
45,140,12,AWS
46,140,12,Azure
47,142,12,Tableau
48,144,12,ETL
49,145,12,Hadoop
50,145,12,Hbase
51,145,12,Hive
52,145,12,OOP
53,146,12,SQL
54,147,12,AWS
55,148,13,Data Lake
56,154,13,Data Pipeline
57,156,13,Scala
58,157,13,AWS
59,157,13,SQL
60,158,13,Testing
61,160,13,SQL
62,160,13,Spark
63,161,13,SQL
64,161,13,Scala
65,161,13,Spark
66,164,13,Java
67,164,13,Python
68,164,13,Shell
69,165,13,AWS
70,166,13,Scala
71,166,13,Spark
72,168,13,Linux
73,168,13,Shell
74,170,13,Git
75,179,13,SQL
76,180,13,AWS
77,185,14,ETL
78,196,15,Python
79,196,15, R 
80,197,15,Excel
81,198,15,Excel
82,213,17,Scala
83,216,17,Java
84,216,17,Javascript
85,216,17,Python
86,219,17,Excel
87,220,17,AWS
88,220,17,GCP
89,221,17,Linux
90,222,17,SQL
91,225,17,Git
92,227,17,D3
93,227,17,Java
94,227,17,Javascript
95,231,18,Data Pipeline
96,231,18,Google Cloud
97,231,18,Spark
98,233,18,Testing
99,236,18,Java
100,237,18,Cassandra
101,237,18,Hadoop
102,237,18,OOP
103,238,18,Java
104,238,18,Scala
105,252,20,ETL
106,265,20,Excel
107,269,20,ETL
108,269,20,SQL
109,270,20,ETL
110,270,20,SQL
111,275,21,Git
112,276,21,Testing
113,278,21,Python
114,279,21,Excel
115,280,21,Git
116,296,23,SQL
117,297,23,Python
118,300,23,AWS
119,300,23,Redshift
120,303,23,ETL
121,305,23,Git
122,322,24,Python
123,325,24,Linux
124,326,24,Python
125,326,24,Shell
126,327,24,Excel
127,329,24,Excel
128,329,24,Linux
129,329,24,Python
130,329,24,Shell
131,335,25,Pandas
132,335,25,Python
133,335,25,Scikit-learn
134,337,25,AWS
135,339,25,SQL
136,353,26,Excel
137,353,26,SQL
138,353,26,Tableau
139,354,26,Excel
140,355,26,Tableau
141,370,26,Tableau
142,372,26,SQL
143,373,26,SQL
144,377,26,Excel
145,380,26,Excel
146,382,26,Excel
147,383,26,Tableau
148,398,26,Tableau
149,400,26,SQL
150,402,26,SQL
151,403,26,SQL
152,410,26,Excel
153,413,26,Excel
154,438,27,C++
155,438,27,Java
156,442,27,Excel
157,445,27,C++
158,445,27,Java
159,445,27,Python
160,457,28,Python
161,481,29,Python
162,481,29,SQL
163,490,30,Java
164,490,30,Python
165,490,30,Scala
166,493,30,Data Pipeline
167,497,30,Data Pipeline
168,511,31,Excel
169,514,31,ETL
170,515,31,Excel
171,515,31,SQL
172,516,31,C#
173,516,31,Java
174,516,31,Python
175,517,31,ETL
176,519,31,Excel
177,526,31,Airflow
178,526,31,ETL
179,527,31,AWS
180,527,31,Azure
181,528,31,Azure
182,528,31,BigQuery
183,528,31,Redshift
184,528,31,SQL
185,535,32,Scala
186,544,32,ETL
187,544,32,Java
188,548,32,ETL
189,551,32,Data Lake
190,551,32,NoSQL
191,551,32,SQL
192,567,33,Excel
193,570,33,Data Pipeline
194,571,33,SQL
195,572,33,Python
196,576,33,Excel
197,594,34,SQL
198,595,34,Python
199,598,36,SQL
200,599,36,ETL
201,600,36,Excel
202,600,36,Tableau
203,601,36,Java
