,description_id,listing_id,tag
0,23,6,C++
1,23,6,Java
2,23,6,Python
3,23,6,SQL
4,23,6,Scala
5,24,6,Hadoop
6,24,6,OOP
7,24,6,Tableau
8,28,6,Excel
9,34,12,Hadoop
10,34,12,Hive
11,34,12,OOP
12,34,12,Pig
13,35,12,Pyspark
14,35,12,Python
15,35,12,Spark
16,35,12,Tableau
17,40,15,Hadoop
18,40,15,Hive
19,40,15,OOP
20,40,15,Pig
21,41,15,Pyspark
22,41,15,Python
23,41,15,Spark
24,41,15,Tableau
25,64,21,Matlab
26,64,21,NumPy
27,65,21,D3
28,66,21,Cassandra
29,66,21,Hbase
30,66,21,MongoDB
31,66,21,NoSQL
32,66,21,SQL
33,67,21,Testing
34,69,21,Excel
35,92,26,Python
36,92,26,SQL
37,93,26,NumPy
38,93,26,Pandas
39,123,27,Python
40,128,27,Excel
41,130,27,Excel
42,152,30,Pandas
43,152,30,Python
44,152,30,Scikit-learn
45,155,30,Pandas
46,155,30,Python
47,155,30,Scikit-learn
48,158,30,Pandas
49,158,30,Python
50,158,30,Scikit-learn
51,174,31,Python
52,174,31, R 
53,174,31,SQL
54,174,31,Scikit-learn
55,177,31,Phd
56,179,31,Java
57,181,31,Hadoop
58,181,31,OOP
59,181,31,Spark
60,184,31,Excel
61,192,33,Masters
62,192,33,Phd
63,194,33,Python
64,211,33,Python
65,226,37,Python
66,227,37,NumPy
67,227,37,Pandas
68,227,37,Scikit-learn
69,228,37,Pandas
70,229,37,NumPy
71,231,37,Scikit-learn
72,232,37,SQL
73,233,37,Tableau
74,235,37,Git
75,236,37,Excel
76,237,37,Pandas
77,238,37,NumPy
78,240,37,Scikit-learn
79,242,41,Python
80,242,41,SQL
81,242,41,Tableau
82,245,41,Tableau
83,246,41,Keras
84,247,41,Tableau
85,248,41,Excel
86,249,41,Excel
87,255,41,Python
88,256,41,Tableau
89,257,41,Keras
90,268,42,Git
91,268,42,Java
92,268,42,Matlab
93,268,42,Python
94,271,42,Java
95,271,42,Matlab
96,271,42,Python
97,275,42,Git
98,278,42,Git
99,282,42,Java
100,282,42,Matlab
101,282,42,Python
102,286,42,Git
103,289,42,Git
104,293,42,Git
105,295,44,AWS
106,295,44,SQL
107,295,44,postgresql
108,298,44,Data Pipeline
109,302,44,Pandas
110,302,44,Python
111,303,44,SQL
112,306,44,Excel
113,308,44,Spark
114,310,44,Kafka
115,329,46,ETL
116,329,46,MySQL
117,329,46,Python
118,329,46,SQL
119,340,47,Python
120,340,47,SQL
121,343,47,Python
122,343,47, R 
123,343,47,SQL
124,359,51,AWS
125,359,51,EMR
126,359,51,Hadoop
127,359,51,OOP
128,359,51,Python
129,359,51,SQL
130,359,51,Spark
131,409,56,C++
132,409,56,Java
133,409,56,Python
134,409,56,SQL
135,409,56,Scala
136,410,56,Hadoop
137,410,56,OOP
138,410,56,Tableau
139,414,56,Excel
140,418,60,Python
141,418,60,SQL
142,418,60,Tableau
143,421,60,Tableau
144,422,60,Keras
145,423,60,Tableau
146,424,60,Excel
147,425,60,Excel
148,431,60,Python
149,432,60,Tableau
150,433,60,Keras
151,444,61,Git
152,444,61,Java
153,444,61,Matlab
154,444,61,Python
155,447,61,Java
156,447,61,Matlab
157,447,61,Python
158,451,61,Git
159,454,61,Git
160,458,61,Java
161,458,61,Matlab
162,458,61,Python
163,462,61,Git
164,465,61,Git
165,469,61,Git
166,471,63,AWS
167,471,63,SQL
168,471,63,postgresql
169,474,63,Data Pipeline
170,478,63,Pandas
171,478,63,Python
172,479,63,SQL
173,482,63,Excel
174,484,63,Spark
175,486,63,Kafka
176,505,65,ETL
177,505,65,MySQL
178,505,65,Python
179,505,65,SQL
180,516,66,Python
181,516,66,SQL
182,519,66,Python
183,519,66, R 
184,519,66,SQL
185,538,72,Python
186,540,72, R 
187,540,72,SAS
188,542,72,Keras
189,542,72,PyTorch
190,543,72,SQL
191,544,72,D3
192,544,72,Tableau
193,546,72,Git
194,563,75,Pyspark
195,563,75,Python
196,563,75,Scala
197,563,75,Spark
198,566,75,NoSQL
199,566,75,SQL
200,574,76,Python
201,574,76, R 
202,575,76,OOP
203,576,76,SQL
204,582,76,Phd
205,583,76,AWS
206,583,76,Docker
207,587,77,Masters
208,590,77,Python
209,595,81,Phd
210,596,81, R 
211,600,81,Git
212,601,81,Pig
213,603,81,Python
214,604,81,Pig
215,611,83,Masters
216,612,83,Python
217,613,83,Docker
218,614,83,Excel
219,655,85,Python
220,655,85,SQL
221,656,85,Tableau
222,660,85,Excel
223,667,87,Python
224,667,87,Spark
225,668,87,Hadoop
226,668,87,OOP
227,668,87,Python
228,670,87,Hadoop
229,670,87,Hive
230,670,87,OOP
231,670,87,Spark
232,671,87,Git
233,673,87,Java
234,673,87,OOP
235,677,87,Excel
236,687,94,Python
237,687,94, R 
238,687,94,SQL
239,688,94,Git
240,688,94,Testing
241,690,94,BigQuery
242,690,94,Google Cloud
243,691,94,Git
244,704,96,Keras
245,707,96,SQL
246,709,96,Testing
247,710,96,Excel
248,712,96,Java
249,712,96,Linux
250,713,96,Perl
251,713,96,Spark
252,721,99,SQL
253,722,99,Excel
254,728,99,Git
255,742,104,Matlab
256,742,104,Python
257,743,104,Alteryx
258,743,104,Tableau
259,744,104,Testing
260,745,104,Excel
261,746,107,Phd
262,747,107, R 
263,751,107,Git
264,752,107,Pig
265,754,107,Python
266,755,107,Pig
267,762,109,Masters
268,763,109,Python
269,764,109,Docker
270,765,109,Excel
271,806,111,Python
272,806,111,SQL
273,807,111,Tableau
274,811,111,Excel
275,830,126,Git
276,837,126,SQL
277,838,126,SQL
278,848,127,ETL
279,850,127,Testing
280,852,127,Hadoop
281,852,127,Java
282,852,127,OOP
283,852,127,Python
284,852,127,SQL
285,852,127,Spark
286,860,128,Java
287,860,128,Javascript
288,860,128,MongoDB
289,860,128,NoSQL
290,860,128,NumPy
291,860,128,Pandas
292,860,128,Python
293,860,128,SQL
294,866,128,NumPy
295,866,128,Pandas
296,866,128,Python
297,867,128,SQL
298,868,128,Python
299,869,128,Tableau
300,893,143,Python
301,897,143,Hadoop
302,897,143,Hive
303,897,143,OOP
304,897,143,Spark
305,898,143,SQL
306,900,143,Git
307,913,147,Docker
308,913,147,Java
309,913,147,Linux
310,913,147,Python
311,913,147,SQL
312,919,147,Java
313,919,147,Linux
314,919,147,Python
315,920,150,Scala
316,921,150,Python
317,922,150,Keras
318,922,150,MongoDB
319,922,150,NumPy
320,922,150,SQL
321,922,150,Spacy
322,929,150,Python
323,933,151,Excel
324,936,151,Python
325,936,151,SAS
326,949,153,Hadoop
327,949,153,OOP
328,949,153,Spark
329,950,153,Python
330,951,153,Data Pipeline
331,951,153,Linux
332,951,153,Python
333,952,153,C++
334,952,153,Cassandra
335,952,153,Docker
336,952,153,Matlab
337,952,153,SQL
338,952,153,Scala
339,952,153,Spark
340,967,156,Python
341,967,156, R 
342,979,157,Scala
343,984,157,MongoDB
344,984,157,MySQL
345,984,157,NoSQL
346,984,157,SQL
347,985,157,Hadoop
348,985,157,OOP
349,985,157,Python
350,987,157,Azure
351,987,157,BigQuery
352,987,157,Data Lake
353,987,157,Kafka
354,987,157,Spark
355,993,157,Excel
356,1006,161,Python
357,1015,165,ETL
358,1015,165,Hadoop
359,1015,165,OOP
360,1015,165,SQL
361,1023,165,Hadoop
362,1023,165,OOP
363,1023,165,SQL
364,1023,165,Spark
365,1025,165,Testing
366,1028,165,Hadoop
367,1028,165,OOP
368,1028,165,SQL
369,1028,165,Spark
370,1037,168,Python
371,1037,168, R 
372,1038,168,Git
373,1038,168,Linux
374,1046,169,GCP
375,1047,169,Testing
376,1055,169,Testing
377,1057,169,Hadoop
378,1057,169,OOP
379,1057,169,Python
380,1057,169,SAS
381,1057,169,Scala
382,1057,169,Spark
383,1065,170,Phd
384,1066,170,Python
385,1066,170,SQL
386,1066,170,Scala
387,1066,170,Spark
388,1072,181,Excel
389,1074,181,Data Pipeline
390,1074,181,Testing
391,1079,181,NumPy
392,1079,181,Pandas
393,1079,181,Python
394,1084,181,Excel
395,1105,181,OOP
396,1111,187,Excel
397,1113,187,Data Pipeline
398,1113,187,Testing
399,1118,187,NumPy
400,1118,187,Pandas
401,1118,187,Python
402,1123,187,Excel
403,1144,187,OOP
404,1148,188,ETL
405,1149,188,SAS
406,1165,189,Masters
407,1166,189,Python
408,1167,189,SQL
409,1167,189,Tableau
410,1168,189,Testing
411,1171,189,BigQuery
412,1171,189,Redshift
413,1175,194,Python
414,1175,194,Spark
415,1176,194,Hadoop
416,1176,194,OOP
417,1176,194,Python
418,1178,194,Hadoop
419,1178,194,Hive
420,1178,194,OOP
421,1178,194,Spark
422,1179,194,Git
423,1181,194,Java
424,1181,194,OOP
425,1185,194,Excel
426,1196,197,Pandas
427,1196,197,Python
428,1196,197,Scikit-learn
429,1199,197,Pandas
430,1199,197,Python
431,1199,197,Scikit-learn
432,1202,197,Pandas
433,1202,197,Python
434,1202,197,Scikit-learn
435,1220,202,Python
436,1224,202,Hadoop
437,1224,202,Hive
438,1224,202,OOP
439,1224,202,Spark
440,1225,202,SQL
441,1227,202,Git
442,1240,206,Docker
443,1240,206,Java
444,1240,206,Linux
445,1240,206,Python
446,1240,206,SQL
447,1246,206,Java
448,1246,206,Linux
449,1246,206,Python
450,1258,215,C++
451,1258,215,Java
452,1258,215,Python
453,1258,215,SQL
454,1258,215,Scala
455,1259,215,Hadoop
456,1259,215,OOP
457,1259,215,Tableau
458,1263,215,Excel
459,1269,222,Sklearn
460,1269,222,Spark
461,1272,222,Python
462,1275,222,Tableau
463,1276,222,Hadoop
464,1276,222,OOP
465,1276,222,Spark
466,1277,222,NumPy
467,1277,222,Pandas
468,1277,222,Pyspark
469,1277,222,Python
470,1277,222,Sklearn
471,1277,222,Spark
472,1279,222,D3
473,1280,224,Hive
474,1280,224,Matlab
475,1280,224,Pig
476,1280,224,Python
477,1280,224,SAS
478,1280,224,SQL
479,1280,224,Spark
480,1284,224,Excel
481,1285,225,Python
482,1286,225,Python
483,1287,225,Excel
484,1287,225,ETL
485,1287,225,SQL
486,1289,225,Python
487,1289,225,SPSS
488,1292,225,C++
489,1292,225,Java
490,1293,225,D3
491,1294,225,Hadoop
492,1294,225,OOP
493,1294,225,Pig
494,1310,230,Python
495,1323,234,Python
496,1323,234, R 
497,1324,234,Excel
498,1325,234,Excel
499,1326,234,Phd
500,1339,235,ETL
501,1339,235,Hadoop
502,1339,235,OOP
503,1339,235,SQL
504,1347,235,Hadoop
505,1347,235,OOP
506,1347,235,SQL
507,1347,235,Spark
508,1349,235,Testing
509,1352,235,Hadoop
510,1352,235,OOP
511,1352,235,SQL
512,1352,235,Spark
513,1355,237,C++
514,1355,237,Linux
515,1355,237,Python
516,1360,240,Python
517,1360,240, R 
518,1361,240,OOP
519,1362,240,SQL
520,1368,240,Phd
521,1369,240,AWS
522,1369,240,Docker
523,1376,242,Python
524,1376,242,Spark
525,1377,242,Hadoop
526,1377,242,OOP
527,1377,242,Python
528,1379,242,Hadoop
529,1379,242,Hive
530,1379,242,OOP
531,1379,242,Spark
532,1380,242,Git
533,1382,242,Java
534,1382,242,OOP
535,1386,242,Excel
536,1389,250,Data Pipeline
537,1389,250,ETL
538,1393,250,C++
539,1393,250,Object Oriented
540,1395,250,Linux
541,1397,251,AWS
542,1400,251,Excel
543,1403,251,Python
544,1404,251,Hadoop
545,1404,251,Hive
546,1404,251,Keras
547,1404,251,OOP
548,1404,251,Pandas
549,1404,251, R 
550,1404,251,SQL
551,1404,251,Scikit-learn
552,1411,253,Hive
553,1411,253,NoSQL
554,1411,253,SQL
555,1412,253,Pig
556,1412,253,Spark
557,1417,257,Hadoop
558,1417,257,Hive
559,1417,257,MySQL
560,1417,257,OOP
561,1417,257,SQL
562,1417,257,Spark
563,1418,257,D3
564,1422,259,Hadoop
565,1422,259,Hive
566,1422,259,MySQL
567,1422,259,OOP
568,1422,259,SQL
569,1422,259,Spark
570,1423,259,D3
571,1432,260,Testing
572,1439,260,Excel
573,1440,260,C++
574,1440,260,Java
575,1440,260,Matlab
576,1440,260,Pandas
577,1440,260,Python
578,1440,260, R 
579,1440,260,SAS
580,1440,260,Scikit-learn
581,1440,260,Tableau
582,1441,260,D3
583,1441,260,Tableau
584,1443,260,Azure
585,1443,260,Google Cloud
586,1449,260,MongoDB
587,1449,260,MySQL
588,1449,260,SQL
589,1449,260,postgresql
590,1450,260,Git
591,1451,260, R 
592,1452,260,D3
593,1453,260,Django
594,1453,260,Flask
595,1459,263,Testing
596,1462,263,Testing
597,1464,263,Python
598,1465,263,SQL
599,1466,263,C#
600,1466,263,Java
601,1477,266,Hadoop
602,1477,266,Hive
603,1477,266,OOP
604,1477,266,Tableau
605,1479,266,Testing
606,1484,267,Python
607,1484,267,SQL
608,1484,267,Tableau
609,1510,268,NumPy
610,1510,268,Python
611,1518,268,C++
612,1519,268,Hadoop
613,1519,268,Hive
614,1519,268,OOP
615,1519,268,Pig
616,1530,268,Git
617,1538,276,AWS
618,1542,276,Python
619,1550,278,Python
620,1550,278,Scala
621,1553,278,Shell
622,1562,278,Spark
623,1571,287,SAS
624,1571,287,SPSS
625,1572,287,SPSS
626,1575,287,Git
627,1585,291,SAS
628,1585,291,SPSS
629,1586,291,SPSS
630,1589,291,Git
631,1598,300,Python
632,1598,300,Spark
633,1599,300,Hadoop
634,1599,300,OOP
635,1599,300,Python
636,1601,300,Hadoop
637,1601,300,Hive
638,1601,300,OOP
639,1601,300,Spark
640,1602,300,Git
641,1604,300,Java
642,1604,300,OOP
643,1608,300,Excel
644,1610,305,Masters
645,1611,305,Excel
646,1612,305,Matlab
647,1612,305,NumPy
648,1614,305,D3
649,1615,305,Hive
650,1615,305,SQL
651,1616,305,MongoDB
652,1616,305,NoSQL
653,1616,305,SQL
654,1617,305,Cassandra
655,1617,305,Hbase
656,1618,305,Testing
657,1632,316,Python
658,1632,316,SAS
659,1632,316,SQL
660,1632,316,Scala
661,1639,316,Python
662,1639,316,SAS
663,1639,316,SQL
664,1639,316,Scala
665,1645,316,Excel
666,1657,322,Python
667,1657,322,SAS
668,1657,322,SQL
669,1657,322,Scala
670,1664,322,Python
671,1664,322,SAS
672,1664,322,SQL
673,1664,322,Scala
674,1670,322,Excel
675,1682,330,Python
676,1682,330,Spark
677,1683,330,Hadoop
678,1683,330,OOP
679,1683,330,Python
680,1685,330,Hadoop
681,1685,330,Hive
682,1685,330,OOP
683,1685,330,Spark
684,1686,330,Git
685,1688,330,Java
686,1688,330,OOP
687,1692,330,Excel
688,1694,332,SQL
689,1695,332,Testing
690,1714,336,C++
691,1714,336,Python
692,1714,336,Scala
693,1719,336,Excel
694,1725,342,Excel
695,1725,342,SQL
696,1735,354,Scala
697,1741,354,Phd
698,1744,354,C++
699,1744,354,Python
700,1745,354,ETL
701,1757,361,ETL
702,1759,361,Python
703,1759,361,SQL
704,1759,361,Tableau
705,1768,376,Keras
706,1769,376,AWS
707,1772,376,Python
708,1779,376,AWS
709,1780,376,Java
710,1784,380,Keras
711,1785,380,AWS
712,1788,380,Python
713,1795,380,AWS
714,1796,380,Java
715,1800,386,Python
716,1800,386, R 
717,1809,388,Python
718,1809,388,Spark
719,1810,388,Hadoop
720,1810,388,OOP
721,1810,388,Python
722,1812,388,Hadoop
723,1812,388,Hive
724,1812,388,OOP
725,1812,388,Spark
726,1813,388,Git
727,1815,388,Java
728,1815,388,OOP
729,1819,388,Excel
730,1820,389,ETL
731,1825,389,SQL
732,1826,389,Python
733,1826,389,SQL
734,1827,389,Testing
735,1831,389,Java
736,1831,389,Javascript
737,1831,389,Linux
738,1831,389,NoSQL
739,1831,389,Python
740,1831,389,SQL
741,1833,389,ETL
742,1851,394,Python
743,1851,394,SAS
744,1851,394,Tableau
745,1859,401,Python
746,1859,401,SAS
747,1868,403,Python
748,1868,403,Spark
749,1869,403,Hadoop
750,1869,403,OOP
751,1869,403,Python
752,1871,403,Hadoop
753,1871,403,Hive
754,1871,403,OOP
755,1871,403,Spark
756,1872,403,Git
757,1874,403,Java
758,1874,403,OOP
759,1878,403,Excel
760,1886,416,Phd
761,1891,416,Python
762,1892,416,C++
763,1893,416,Spark
764,1899,428,AWS
765,1900,428,NumPy
766,1900,428,Pandas
767,1900,428,Python
768,1900,428,Scikit-learn
769,1901,428,Keras
770,1901,428,Python
771,1903,428,Git
772,1904,428,Excel
773,1918,433,SAS
774,1919,433,Python
775,1919,433, R 
776,1919,433,SAS
777,1919,433,SQL
778,1948,440,Testing
779,1960,440,Phd
780,1962,440,EMR
781,1964,440,Java
782,1964,440,Scala
783,1965,440,Hadoop
784,1965,440,OOP
785,1966,440,Spark
786,1969,440,Testing
787,1970,440,Matlab
788,1970,440,Python
789,1970,440,SAS
790,1971,440,Excel
791,1971,440,Tableau
792,1974,440,Excel
793,1981,440,Excel
794,1983,442,Scala
795,1983,442,Testing
796,1987,442,Scala
797,1992,442,Keras
798,1992,442,NumPy
799,1992,442,PyTorch
800,1993,442,Pyspark
801,1993,442,Spark
802,1994,442,AWS
803,2006,449,Java
